,C6orf223,KRT7,cg18949415,cg22193385
176,0.843242289,0.221920233,0.3076219,0.1159014
177,5.739669851,2.741335902,0.3003791,0.07409795
178,7.048874765,0.495802282,0.320165,0.07458673
179,10.83161614,1.254075399,0.2555933,0.06935659
180,6.7198705,0.810000672,0.1740993,0.07581134
181,12.68910101,0.864450162,0.1741322,0.2078551
182,1.206413941,1.006361866,0.4311426,0.1149677
183,8.031186519,1.241559341,0.3872659,0.04917223
184,3.4620471,1.439433238,0.2120363,0.1191693
185,13.36415926,0.36709234,0.1508659,0.09736903
186,0.962720039,2.176692562,0.3006527,0.06585543
187,1.491466531,2.310920266,0.1647732,0.1310838
188,3.229811936,2.497011013,0.2931704,0.05835476
189,28.50784236,3.590306628,0.1206577,0.03130181
190,15.63238785,0.221137239,0.335429,0.268117
191,18.14571376,0.740479715,0.2228336,0.04174932
192,12.73935307,1.580139835,0.2469305,0.04767414
193,3.772939026,0.758668845,0.2486578,0.05062526
194,5.007231908,1.418450735,0.2087387,0.04673385
195,10.75416956,1.369889993,0.2146239,0.04437057
196,8.004827552,1.366334108,0.2281903,0.0363733
197,5.333352305,0.863597583,0.2193871,0.04798561
198,7.368179962,0.532768396,0.07730058,0.4351378
199,4.920634583,0.653327116,0.5585116,0.1929735
200,4.516664411,0.790280117,0.360337,0.2721173
201,2.124349807,12.61942011,0.2250517,0.0371024
202,18.84510879,0.989546922,0.1523637,0.03442618
203,15.10375726,0.413989502,0.124986,0.03610529
204,26.60846025,0.046256657,0.1320724,0.6136183
